Protein_id,Protein_description,Gene_name,hrp_1,hrp_2,h2o2_1,h2o2_2,t4_1,t4_2,t5_1,t5_2,signal_ratio,fp,tp,tpr,fpr,tpr_fpr,fdr
3579,"MIP27349p1;Uncharacterized protein, isoform G;Uncharacterized protein, isoform I;GH09530p",CG1726;CG1735;CG32521-RA,6.3343,4.0531,5.3954,4.2084,5.9403,5.9565,6.1171,6.4479,2.2394999999999996,0,0,0.0,0.0,0.0,0.0
3835,GM03616p;FI17510p1,CG9917-RA;Dmel\CG9917,5.4476,4.694,3.844,3.8743,5.4999,5.4334,5.0927,5.8962,2.0219000000000005,0,0,0.0,0.0,0.0,0.0
FBgn0013342,"RH40025p;Neuronal synaptobrevin, isoform K;Neuronal synaptobrevin, isoform J;GH19566p;GH04664p;Neuronal synaptobrevin, isoform E",n-syb-RD;nSyb,7.842,7.1714,6.5078,6.5966,7.9928,8.0981,7.6742,8.41,1.8134000000000006,0,1,0.0020325203252032522,0.0,0.0020325203252032522,0.0
FBgn0034808,RE45066p,Dmel\CG9896,6.7976,6.2429,6.0383,6.0313,7.2996,7.355,7.2168,7.4434,1.4120999999999997,0,1,0.0040650406504065045,0.0,0.0040650406504065045,0.0
FBgn0033504,"CAP, isoform B;CAP, isoform R",CAP,6.1916,5.7597,5.0944,5.2618,6.1897,6.0675,5.7755,6.6286,1.3667999999999996,0,0,0.0040650406504065045,0.0,0.0040650406504065045,0.0
3789,Uncharacterized protein,Dmel\CG15744,5.2413,5.0375,4.9835,4.7446,4.9666,5.0661,5.448,6.081,1.3364000000000003,0,0,0.0040650406504065045,0.0,0.0040650406504065045,0.0
FBgn0000299,RE33133p;Collagen alpha-1(IV) chain,Cg25C-RC;Col4a1,8.1517,7.8857,7.6392,7.4556,7.7526,7.8104,8.604,8.6487,1.1931000000000003,0,1,0.006097560975609756,0.0,0.006097560975609756,0.0
FBgn0003065,GCR 1 protein;RE35358p,GCR 1;GCR1,7.1624,6.6525,6.9077,6.4975,6.3945,6.4068,7.7446,7.6765,1.1790000000000003,0,0,0.006097560975609756,0.0,0.006097560975609756,0.0
FBgn0284408,SD04592p,trol,5.9443,5.6692,5.8843,5.3309,5.7429,5.6292,6.3472,6.5026,1.1717000000000004,0,1,0.008130081300813009,0.0,0.008130081300813009,0.0
FBgn0085228,IP16948p (Fragment);HDC07468,;Dmel\CG34199,6.1902,5.3565,5.4463,5.3093,4.8798,5.0841,6.4504,6.4755,1.1662,0,1,0.01016260162601626,0.0,0.01016260162601626,0.0
FBgn0039217,"Uncharacterized protein, isoform C;RE33368p;RE32656p;FI21478p1;Uncharacterized protein, isoform A",CG13627;Dmel\CG13627,6.3963,5.65,5.974,5.6659,5.578,5.6395,6.7623,6.8107,1.1448,0,0,0.01016260162601626,0.0,0.01016260162601626,0.0
2715,"Cuticular protein 62Bc, isoform A",Cpr62Bc,6.2203,6.1604,5.9088,5.6032,6.0461,5.9732,6.46,6.7004,1.0972,0,0,0.01016260162601626,0.0,0.01016260162601626,0.0
FBgn0035510,Cuticular protein 64Aa,Cpr64Aa,6.9202,6.4671,5.2208,6.0535,6.559,6.4435,6.6479,7.1059,1.0524000000000004,0,1,0.012195121951219513,0.0,0.012195121951219513,0.0
FBgn0033658,Tweedlebeta;FI17113p1 (Fragment);RE14272p,GCR(ich);Twdlbeta;TwdlBeta-RA;TwdlE;TwdlT,7.6652,6.9057,7.2549,7.089,6.5455,6.784,8.1701,8.1295,1.0404999999999998,0,1,0.014227642276422764,0.0,0.014227642276422764,0.0
1428,"Keratin, type I cytoskeletal 13",;KRT13;Krt20;KRT20;KRT222;KRT23;KRT24;Krt31;KRT31;KRT32;KRT33A;KRT33B;KRT34;Krt35;KRT35;KRT36;KRT37;KRT38;KRT40,7.3225,7.3538,7.1936,6.1842,6.0932,6.3702,6.5305,7.2045,1.0203000000000007,0,0,0.014227642276422764,0.0,0.014227642276422764,0.0
FBgn0036594,Uncharacterized protein,Dmel\CG13047,6.1346,5.2734,5.6594,5.5021,5.349,5.3044,6.4314,6.5164,1.0142999999999995,0,0,0.014227642276422764,0.0,0.014227642276422764,0.0
FBgn0033902,Eukaryotic translation initiation factor 3 subunit M;Eukaryotic translation initiation factor 3 subunit M,eIF3m,6.9226,6.5688,6.0023,6.0531,6.7308,6.7501,6.6441,7.0552,1.0021000000000004,0,0,0.014227642276422764,0.0,0.014227642276422764,0.0
FBgn0036593,"Uncharacterized protein, isoform A",Dmel\CG13048,7.1144,6.376,6.6557,6.4556,6.3946,6.3611,7.3006,7.4413,0.9857000000000005,0,0,0.014227642276422764,0.0,0.014227642276422764,0.0
FBgn0261674,"RT10135p (Fragment);LD45603p;Uncharacterized protein, isoform D",CG17667-RB;EP(3)3622;EP3622,7.4538,7.1229,6.0134,6.8212,8.1297,8.1415,7.7111,7.785,0.9638,0,1,0.016260162601626018,0.0,0.016260162601626018,0.0
FBgn0053196,"Dumpy, isoform J;Dumpy, isoform I;Dumpy, isoform Q;Dumpy, isoform AA;Dumpy, isoform R;Dumpy, isoform W;Dumpy, isoform O;Dumpy, isoform T;Dumpy, isoform Y;Dumpy, isoform S;Dumpy, isoform X;Dumpy, isoform P;Dumpy, isoform U;Dumpy, isoform Z",dpy,6.4826,6.1018,6.23,6.0999,5.9249,5.9574,6.8197,7.0264,0.9264999999999999,0,1,0.018292682926829267,0.0,0.018292682926829267,0.0
FBgn0039186,"Uncharacterized protein, isoform G;RH13835p;LD15527p;Uncharacterized protein, isoform A",CG5746;Dmel\CG5746,6.3396,6.0506,5.8618,5.7262,6.0356,6.1412,6.4209,6.6486,0.9223999999999997,0,0,0.018292682926829267,0.0,0.018292682926829267,0.0
3837,B-related factor 1;B-related factor 1;B-related factor 1,Brf,5.5619,5.1293,4.7639,4.7577,4.4404,4.4782,4.8516,5.6641,0.9064000000000005,0,0,0.018292682926829267,0.0,0.018292682926829267,0.0
FBgn0038017,LD12305p,Dmel\CG4115,7.094,6.408,6.786,6.4918,6.5152,6.5219,7.356,7.3965,0.9047000000000001,0,1,0.02032520325203252,0.0,0.02032520325203252,0.0
FBgn0028544,HL02234p,Vajk3,7.4571,6.9037,7.1203,6.9471,6.7262,6.7889,7.8769,7.8371,0.8900000000000006,0,0,0.02032520325203252,0.0,0.02032520325203252,0.0
FBgn0032797,"RE03726p;Hig-anchoring scaffold protein, isoform G;Hig-anchoring scaffold protein, isoform A",CG10186;CG10186-RA;Hasp,8.0048,7.433,7.5305,7.2272,8.0667,8.1326,8.1012,8.1046,0.8773999999999997,0,1,0.022357723577235773,0.0,0.022357723577235773,0.0
FBgn0261822,"Basigin, isoform G",Bsg,8.0618,7.1192,7.1544,7.0136,8.0973,8.12,7.9017,7.8876,0.8739999999999997,0,1,0.024390243902439025,0.0,0.024390243902439025,0.0
3361,Alpha-galactosidase,Dmel\CG7997,6.3114,5.7082,5.2853,5.434,5.5844,5.6064,5.6657,6.304,0.8700000000000001,0,0,0.024390243902439025,0.0,0.024390243902439025,0.0
FBgn0250833,GEO11286p1,CG7072,6.7442,6.2191,6.007,5.913,6.0526,6.0089,6.654,6.7768,0.8637999999999995,0,1,0.026422764227642278,0.0,0.026422764227642278,0.0
FBgn0033307,MIP13653p,Dmel\CG14752,7.8906,7.1687,7.6232,7.4261,6.713,7.0821,8.4024,8.2789,0.8528000000000002,0,0,0.026422764227642278,0.0,0.026422764227642278,0.0
2975,"Uncharacterized protein, isoform C;GH25289p",CG11625;Dmel\CG31221,5.3038,5.9586,5.9127,5.5935,6.2024,6.1951,6.2989,6.4448,0.8513000000000002,0,0,0.026422764227642278,0.0,0.026422764227642278,0.0
FBgn0034860,"MIP16064p;Uncharacterized protein, isoform B;FI20812p1;Uncharacterized protein, isoform D",BcDNA:RH38235;CG9812-RB;CG9812-RC;Dmel\CG9812,6.3446,5.74,6.0139,5.7083,5.6057,5.7511,6.727,6.5447,0.8363999999999994,0,0,0.026422764227642278,0.0,0.026422764227642278,0.0
FBgn0034709,RE01730p;GM06507p,Swim,7.3708,7.4717,6.394,7.1971,7.5574,7.464,8.1135,8.0313,0.8342,0,1,0.028455284552845527,0.0,0.028455284552845527,0.0
FBgn0050101,LD27203p,Vajk4,6.8583,6.4056,6.5517,6.2802,6.3995,6.2933,6.9805,7.1139,0.8337000000000003,0,0,0.028455284552845527,0.0,0.028455284552845527,0.0
